"filename", "language", "TypeScript", "Markdown", "JSON with Comments", "JavaScript", "JSON", "TypeScript JSX", "PostCSS", "XML", "HTML", "comment", "blank", "total"
"c:\DEV\Workspace\dashboard_rpa_bbl_2\.roo\mcp.json", "JSON with Comments", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\DEV\Workspace\dashboard_rpa_bbl_2\app\api\contact\route.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"c:\DEV\Workspace\dashboard_rpa_bbl_2\app\api\password-reset\route.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\DEV\Workspace\dashboard_rpa_bbl_2\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"c:\DEV\Workspace\dashboard_rpa_bbl_2\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"c:\DEV\Workspace\dashboard_rpa_bbl_2\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 4, 37
"c:\DEV\Workspace\dashboard_rpa_bbl_2\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\DEV\Workspace\dashboard_rpa_bbl_2\components\AgencySelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 9, 60
"c:\DEV\Workspace\dashboard_rpa_bbl_2\components\Chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 244, 0, 0, 0, 13, 20, 277
"c:\DEV\Workspace\dashboard_rpa_bbl_2\components\Chart4All.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 258, 0, 0, 0, 38, 21, 317
"c:\DEV\Workspace\dashboard_rpa_bbl_2\components\Chart4Service.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 9, 152
